product_id,date,stock_received,damaged_stock,net_stock
153019,2023-03-17,4,2,2
848226,2023-03-17,4,2,2
965755,2023-03-17,1,0,1
39154,2023-03-17,4,0,4
34186,2023-03-17,3,2,1
478531,2023-03-17,4,2,2
812607,2023-03-17,4,0,4
818990,2023-03-17,4,0,4
14145,2023-03-17,0,2,-2
847349,2023-03-17,0,2,-2
284460,2023-03-17,4,0,4
77308,2023-03-17,0,2,-2
654297,2023-03-17,4,2,2
376447,2023-03-17,4,0,4
217710,2023-03-17,0,2,-2
888807,2023-03-17,1,0,1
41853,2023-03-17,4,0,4
257719,2023-03-17,4,0,4
741341,2023-03-17,0,2,-2
500633,2023-03-17,0,2,-2
799952,2023-03-17,3,0,3
833557,2023-03-17,4,0,4
324809,2023-03-17,1,0,1
455083,2023-03-17,0,2,-2
592784,2023-03-17,3,0,3
578097,2023-03-17,0,2,-2
487065,2023-03-17,4,0,4
734789,2023-03-17,4,0,4
949818,2023-03-17,0,2,-2
654623,2023-03-17,4,0,4
378230,2023-03-17,0,2,-2
990993,2023-03-17,1,0,1
762527,2023-03-17,4,0,4
602241,2023-03-17,1,2,-1
491521,2023-03-17,3,0,3
832348,2023-03-17,3,2,1
567671,2023-03-17,4,0,4
991434,2023-03-17,0,2,-2
540618,2023-03-17,3,0,3
107548,2023-03-17,0,2,-2
687218,2023-03-17,3,2,1
328457,2023-03-17,3,0,3
300159,2023-03-17,3,2,1
378676,2023-03-17,3,0,3
532965,2023-03-17,4,0,4
305754,2023-03-17,1,0,1
491314,2023-03-17,0,2,-2
470449,2023-03-17,0,2,-2
623234,2023-03-17,0,2,-2
652118,2023-03-17,0,2,-2
611575,2023-03-17,3,0,3
621677,2023-03-17,3,0,3
306177,2023-03-17,4,0,4
692985,2023-03-17,0,2,-2
487931,2023-03-17,0,2,-2
901144,2023-03-17,3,0,3
53833,2023-03-17,4,0,4
490602,2023-03-17,4,0,4
131136,2023-03-17,0,2,-2
287070,2023-03-17,1,0,1
317242,2023-03-17,3,0,3
644847,2023-03-17,0,2,-2
461804,2023-03-17,3,0,3
94225,2023-03-17,0,2,-2
820541,2023-03-17,3,0,3
91670,2023-03-17,3,2,1
336847,2023-03-17,0,2,-2
144124,2023-03-17,3,2,1
677542,2023-03-17,1,0,1
604184,2023-03-17,1,0,1
894539,2023-03-17,0,2,-2
968887,2023-03-17,4,0,4
739448,2023-03-17,0,2,-2
700048,2023-03-17,3,2,1
473647,2023-03-17,3,0,3
753354,2023-03-17,3,0,3
490939,2023-03-17,4,0,4
803607,2023-03-17,0,2,-2
799688,2023-03-17,0,2,-2
684939,2023-03-17,0,2,-2
615545,2023-03-17,0,2,-2
366066,2023-03-17,0,2,-2
970529,2023-03-17,3,2,1
820973,2023-03-17,0,2,-2
433521,2023-03-17,3,2,1
927651,2023-03-17,3,0,3
930284,2023-03-17,0,2,-2
432617,2023-03-17,0,2,-2
942001,2023-03-17,3,2,1
585299,2023-03-17,3,0,3
52729,2023-03-17,4,0,4
661577,2023-03-17,3,0,3
951463,2023-03-17,4,0,4
243235,2023-03-17,3,2,1
564692,2023-03-17,4,0,4
131748,2023-03-17,4,0,4
186168,2023-03-17,0,2,-2
537274,2023-03-17,0,2,-2
913428,2023-03-17,4,0,4
726958,2023-03-17,3,0,3
613942,2023-03-17,0,2,-2
784673,2023-03-17,0,2,-2
425341,2023-03-17,1,0,1
760828,2023-03-17,0,2,-2
677169,2023-03-17,4,0,4
557908,2023-03-17,0,2,-2
566052,2023-03-17,0,2,-2
137909,2023-03-17,0,2,-2
799459,2023-03-17,0,2,-2
992178,2023-03-17,0,2,-2
26060,2023-03-17,3,0,3
237083,2023-03-17,4,0,4
240179,2023-03-17,0,2,-2
153019,2023-03-18,0,2,-2
669378,2023-03-18,3,0,3
890623,2023-03-18,4,0,4
516376,2023-03-18,0,2,-2
34186,2023-03-18,0,2,-2
196719,2023-03-18,0,2,-2
818990,2023-03-18,1,0,1
349294,2023-03-18,3,2,1
284460,2023-03-18,0,2,-2
552883,2023-03-18,4,0,4
952124,2023-03-18,0,2,-2
555121,2023-03-18,3,0,3
217710,2023-03-18,0,2,-2
89084,2023-03-18,4,2,2
891833,2023-03-18,0,2,-2
741341,2023-03-18,0,2,-2
329351,2023-03-18,3,0,3
324809,2023-03-18,4,0,4
337168,2023-03-18,4,2,2
659290,2023-03-18,3,0,3
883013,2023-03-18,3,0,3
455083,2023-03-18,4,0,4
183929,2023-03-18,0,2,-2
578097,2023-03-18,0,2,-2
949818,2023-03-18,3,0,3
690565,2023-03-18,0,2,-2
361361,2023-03-18,3,0,3
378230,2023-03-18,3,0,3
658389,2023-03-18,0,2,-2
762527,2023-03-18,1,0,1
952168,2023-03-18,0,2,-2
587420,2023-03-18,4,0,4
491521,2023-03-18,1,0,1
914071,2023-03-18,4,0,4
567671,2023-03-18,3,0,3
319388,2023-03-18,0,2,-2
681063,2023-03-18,0,2,-2
679321,2023-03-18,0,2,-2
378287,2023-03-18,4,0,4
118820,2023-03-18,3,0,3
667163,2023-03-18,4,0,4
228286,2023-03-18,1,2,-1
890232,2023-03-18,0,2,-2
365132,2023-03-18,3,2,1
689769,2023-03-18,4,0,4
305754,2023-03-18,3,0,3
33955,2023-03-18,0,2,-2
623234,2023-03-18,3,0,3
652118,2023-03-18,0,2,-2
187399,2023-03-18,0,2,-2
621677,2023-03-18,0,2,-2
272170,2023-03-18,3,2,1
487931,2023-03-18,4,0,4
901144,2023-03-18,4,0,4
945635,2023-03-18,3,0,3
760684,2023-03-18,0,2,-2
