campaign_id,campaign_name,date,channel,impressions,clicks,conversions,spend,revenue_generated,ctr,conversion_rate,roi,campaign_duration_days
243,Referral Program,2024-08-25,Email,2480.0,639.0,53.0,3641.179931640625,5970.43017578125,0.25755743651753327,0.0828125,1.639246354611553,1
342,Flash Sale,2023-08-08,Social Media,6335.0,277.0,43.0,2900.4599609375,7711.31005859375,0.043718434343434344,0.15467625899280577,2.657734437976571,1
417,Email Campaign,2023-08-02,Social Media,9896.0,840.0,53.0,2704.169921875,5202.2998046875,0.08487420430433465,0.06302021403091558,1.9230953895427376,1
472,Festival Offer,2024-05-25,Social Media,4729.0,128.0,95.0,1542.6500244140625,4316.39990234375,0.027061310782241013,0.7364341085271318,2.79622960779738,1
648,New User Discount,2023-11-04,Email,7368.0,138.0,43.0,4892.22021484375,2261.530029296875,0.018727100013570364,0.30935251798561153,0.46217622138411973,1
788,New User Discount,2023-12-26,Email,3595.0,994.0,71.0,2896.43994140625,4004.2099609375,0.2764182424916574,0.07135678391959799,1.3819820399777079,1
1005,Membership Drive,2023-06-18,Email,8276.0,793.0,68.0,1189.2099609375,9253.76953125,0.09580765978011357,0.08564231738035265,7.7749051301511765,1
1604,Email Campaign,2024-03-31,App,6379.0,502.0,89.0,3522.989990234375,6315.41015625,0.0786833855799373,0.17693836978131214,1.7921192096887801,1
1676,Email Campaign,2023-08-08,SMS,8311.0,894.0,73.0,3911.43994140625,4606.77978515625,0.1075553416746872,0.08156424581005586,1.1774697769546931,1
1836,Membership Drive,2023-04-13,App,4198.0,926.0,88.0,3265.419921875,7039.52978515625,0.22052869730888305,0.09492988133764833,2.1551208826559565,1
1966,Referral Program,2024-07-03,App,1515.0,924.0,96.0,3621.590087890625,5330.490234375,0.6094986807387863,0.10378378378378378,1.4714582950451502,1
2127,Referral Program,2023-05-08,Social Media,6947.0,625.0,57.0,2830.06005859375,5541.5400390625,0.08995394358088658,0.09105431309904154,1.9574081525543845,1
2160,Category Promotion,2024-03-15,App,1020.0,679.0,50.0,3036.7900390625,2364.06005859375,0.6650342801175319,0.07352941176470588,0.7782170683933537,1
2257,Membership Drive,2023-08-07,SMS,8313.0,563.0,92.0,3118.889892578125,6790.259765625,0.06771710368053885,0.16312056737588654,2.176442117966497,1
2552,Email Campaign,2024-09-21,Social Media,5937.0,600.0,98.0,3542.77001953125,5648.68994140625,0.10104412260020208,0.16306156405990016,1.5939775748070206,1
2609,Category Promotion,2023-07-11,SMS,2631.0,337.0,61.0,4370.47021484375,5547.83984375,0.12803951367781155,0.1804733727810651,1.2691015999403983,1
2793,Festival Offer,2024-04-20,Social Media,5617.0,410.0,72.0,3287.669921875,9873.5,0.07297970808116767,0.17518248175182483,3.0022775877643353,1
2988,Membership Drive,2024-07-21,App,8472.0,701.0,51.0,3923.889892578125,3691.639892578125,0.0827333884102443,0.07264957264957266,0.9405715812713447,1
3131,Referral Program,2024-08-09,Email,8623.0,201.0,11.0,3056.10009765625,6057.81005859375,0.02330705009276438,0.054455445544554455,1.9815543701817346,1
3150,Weekend Special,2024-03-10,SMS,5161.0,567.0,59.0,4543.31982421875,6666.35986328125,0.10984114684230918,0.10387323943661972,1.4669653812113272,1
