order_id,customer_id,order_date,order_total,payment_method,store_id,promised_delivery_time,actual_delivery_time,delivery_status,delivery_delay_hrs,order_day,order_week,order_month,order_year,day_of_week,is_weekend,order_hour,is_peak_hour,on_time_delivery,actual_delivery_day,promised_delivery_day,delivery_diff_days,delivery_speed_hrs,is_cod,is_high_value_order,log_order_total,daily_order_flag,is_month_start,is_month_end
60465,15808945,2024-10-23 05:23:29,589.469970703125,upi,3943,2024-10-23 05:34:29,2024-10-23 05:39:29,On Time,0.0833333333333333,23,43,10,2024,2,0,5,0,0,2024-10-23,2024-10-23,0.003472222222222222,0.26666666666666666,0,0,6.380918780327584,1,0,0
2237858,48281892,2023-04-02 03:45:11,3835.260009765625,wallet,1987,2023-04-02 04:00:11,2023-04-02 04:03:11,On Time,0.05,2,13,4,2023,6,1,3,0,0,2023-04-02,2023-04-02,0.0020833333333333333,0.3,0,1,8.252253215188443,1,0,0
3101265,89617089,2024-05-23 03:21:47,3567.72998046875,upi,974,2024-05-23 03:37:47,2024-05-23 03:40:47,On Time,0.05,23,21,5,2024,3,0,3,0,0,2024-05-23,2024-05-23,0.0020833333333333333,0.31666666666666665,0,1,8.17996506371258,1,0,0
5120698,44174426,2023-06-09 12:10:20,3064.360107421875,wallet,3184,2023-06-09 12:25:20,2023-06-09 12:40:20,Slightly Delayed,0.25,9,23,6,2023,4,0,12,0,0,2023-06-09,2023-06-09,0.010416666666666666,0.5,0,1,8.027920331655462,1,0,0
5512907,51476157,2023-04-30 20:52:21,861.530029296875,wallet,419,2023-04-30 21:11:21,2023-04-30 21:26:21,Slightly Delayed,0.25,30,17,4,2023,6,1,20,1,0,2023-04-30,2023-04-30,0.010416666666666666,0.5666666666666667,0,0,6.759869964875519,1,0,1
7550508,93127511,2023-10-20 10:54:27,1067.6800537109375,card,70,2023-10-20 11:07:27,2023-10-20 11:06:27,On Time,-0.0166666666666666,20,42,10,2023,4,0,10,0,1,2023-10-20,2023-10-20,-0.0006944444444444445,0.2,0,0,6.974179571289058,1,0,0
8701796,14479168,2024-08-19 19:01:44,215.6499938964844,cash,1925,2024-08-19 19:14:44,2024-08-19 19:23:44,Slightly Delayed,0.15,19,34,8,2024,0,0,19,1,0,2024-08-19,2024-08-19,0.00625,0.36666666666666664,0,0,5.378283120013679,1,0,0
9408428,31456752,2023-08-30 13:34:14,1911.8599853515625,upi,9889,2023-08-30 13:54:14,2023-08-30 13:50:14,On Time,-0.0666666666666666,30,35,8,2023,2,0,13,0,1,2023-08-30,2023-08-30,-0.002777777777777778,0.26666666666666666,0,0,7.556354775622896,1,0,1
10161194,63238941,2023-12-24 23:10:35,3827.5400390625,card,6592,2023-12-24 23:28:35,2023-12-24 23:31:35,On Time,0.05,24,51,12,2023,6,1,23,0,0,2023-12-24,2023-12-24,0.0020833333333333333,0.35,0,1,8.250238818657692,1,0,0
10448052,90021871,2023-08-05 10:01:05,1228.8599853515625,upi,1064,2023-08-05 10:21:05,2023-08-05 10:26:05,On Time,0.0833333333333333,5,31,8,2023,5,1,10,0,0,2023-08-05,2023-08-05,0.003472222222222222,0.4166666666666667,0,0,7.11465560883948,1,0,0
