customer_id,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
31813,Sultan Pur Majra,666762,2024-04-10,Regular,18,1230.75
31826,Chinsurah,201602,2023-11-29,New,18,752.780029296875
61020,Kurnool,345635,2024-07-27,New,19,1703.1600341796875
75482,Korba,298093,2024-09-19,Regular,13,1938.3800048828125
119099,Kavali,692517,2023-08-01,Inactive,20,637.3499755859375
188838,Madanapalle,566155,2024-07-16,Inactive,12,799.1099853515625
191616,Pallavaram,587079,2023-04-27,Regular,4,1053.699951171875
211163,Satna,50152,2024-06-10,Regular,9,1169.1099853515625
243838,Visakhapatnam,865844,2024-05-16,New,11,1158.27001953125
376144,Anantapuram,627253,2023-12-19,Regular,13,1784.3199462890625
408590,Jorhat,356268,2024-03-11,Regular,17,436.739990234375
469006,Begusarai,814266,2023-08-21,Inactive,2,1393.199951171875
625395,Siliguri,645207,2024-03-27,Premium,4,1794.260009765625
644189,Bhopal,899027,2023-12-15,Premium,2,793.8599853515625
666589,Morbi,852969,2023-07-31,Regular,15,465.3800048828125
701493,Shahjahanpur,845299,2024-02-11,Inactive,2,290.07000732421875
767523,Vasai-Virar,375272,2023-05-27,Inactive,13,1737.280029296875
773410,Kota,906115,2023-06-25,New,13,1694.7900390625
820740,Ambala,634784,2023-11-15,Premium,1,1385.4599609375
894128,Durgapur,13150,2023-07-20,Inactive,5,1323.3199462890625
899941,Sambhal,12225,2024-06-25,Premium,18,1202.3499755859375
949062,Mau,106228,2023-10-13,Inactive,19,1947.1400146484375
954629,Begusarai,107720,2024-02-26,New,14,1390.0799560546875
966247,Junagadh,410259,2023-11-16,Inactive,13,1110.760009765625
1060685,Mango,449803,2024-03-07,Inactive,4,999.239990234375
1108176,Bhalswa Jahangir Pur,902052,2023-07-27,Premium,20,1460.760009765625
1134585,Ghaziabad,553914,2024-02-06,Regular,8,1975.2099609375
1152215,Dhanbad,251590,2024-05-27,Inactive,2,1637.4300537109375
1174162,Guna,413955,2023-07-02,Premium,12,1255.43994140625
1200365,Thane,151739,2023-06-21,Regular,1,1170.739990234375
1301661,Saharanpur,524586,2023-12-26,Inactive,8,623.7999877929688
1313292,Korba,990395,2024-03-04,Inactive,20,1275.4100341796875
1342184,Dehradun,774395,2024-10-25,Inactive,20,1893.8299560546875
1449273,Pondicherry,562307,2023-12-06,New,12,1758.239990234375
1469696,Jalna,74329,2023-06-24,Premium,6,1784.7900390625
1479065,Bokaro,717396,2024-02-09,New,17,1597.8299560546875
1491857,Morena,260718,2024-06-05,Premium,9,855.239990234375
1497747,Sangli-Miraj & Kupwad,323849,2024-04-11,Inactive,7,1241.72998046875
1507408,Bangalore,478862,2024-03-21,Inactive,8,972.219970703125
1529180,Bareilly,516534,2024-06-07,Inactive,5,596.5399780273438
1562083,Bhopal,405442,2024-01-11,Premium,13,695.02001953125
1588560,Anantapuram,900047,2023-12-01,New,10,945.1799926757812
1589656,Gorakhpur,374983,2024-05-26,Premium,13,1548.760009765625
1601161,Amaravati,562508,2024-05-24,Inactive,1,589.3099975585938
1603358,Gandhinagar,600850,2024-06-09,Inactive,5,1155.8699951171875
1624115,Kochi,487872,2023-10-26,New,2,331.1000061035156
1655637,Ichalkaranji,548633,2023-09-17,Regular,19,723.9500122070312
1662375,Tiruchirappalli,783266,2023-11-18,New,7,1350.81005859375
1683786,Hajipur,775942,2023-09-12,Regular,14,776.52001953125
1697604,Bongaigaon,743452,2023-07-24,Regular,6,1970.1500244140625
1705969,Surat,962834,2024-05-23,Premium,20,877.0
1719710,Giridih,798390,2023-06-26,New,2,1332.8199462890625
1771249,Bathinda,348054,2023-04-14,New,4,790.780029296875
1816969,Vadodara,441464,2024-03-05,Premium,2,1902.68994140625
1855421,Kadapa,608163,2023-06-30,Inactive,10,260.20001220703125
1989720,Saharanpur,232753,2023-11-10,Inactive,6,239.75999450683594
2058037,Rajkot,493628,2023-11-17,Inactive,11,1797.02001953125
2114782,Solapur,803955,2023-05-29,Premium,3,1354.6600341796875
2134827,Ambarnath,863663,2023-10-22,New,10,1710.75
2136830,Bidhannagar,598513,2023-09-19,New,4,485.7799987792969
2164524,Rohtak,398241,2023-04-16,Inactive,1,754.9500122070312
2188994,Patiala,635527,2023-10-26,Inactive,6,484.510009765625
2219590,Solapur,116736,2024-09-24,Regular,20,756.8400268554688
2233446,Panihati,125919,2023-12-27,New,6,1466.449951171875
2234490,Singrauli,529202,2024-08-07,Premium,8,1540.25
2361575,Faridabad,160994,2023-09-14,New,19,1993.0899658203125
2365348,Siwan,119006,2024-09-23,Regular,11,1133.510009765625
2391900,Bhagalpur,348478,2024-09-26,New,17,897.780029296875
2400009,Amaravati,690370,2024-02-26,Premium,7,1328.3499755859375
2414265,Sultan Pur Majra,6805,2023-10-19,New,6,571.9199829101562
2442235,Latur,117097,2024-05-17,Premium,11,661.5800170898438
2457734,Ahmednagar,317271,2023-05-27,Premium,12,923.0599975585938
2517955,Mathura,52692,2024-02-28,Regular,7,1625.43994140625
2558646,Bhusawal,516102,2024-11-01,Premium,10,920.8900146484375
2566268,Mysore,644861,2023-12-04,Premium,16,1796.9599609375
2584499,Ludhiana,880262,2024-09-13,Regular,2,1686.8599853515625
2667357,Guntakal,819570,2024-06-13,Premium,6,1516.6700439453125
2684440,Ranchi,574868,2023-09-05,Premium,5,650.5999755859375
2848415,Aurangabad,529864,2024-07-13,Inactive,9,1798.1300048828125
2875442,Bettiah,68994,2023-07-19,Premium,19,1858.800048828125
2903620,Proddatur,495945,2024-05-11,New,11,1815.06005859375
2928026,Ahmedabad,960708,2024-03-20,New,9,280.45001220703125
3002538,Sonipat,755769,2024-07-10,Inactive,14,489.9100036621094
3096845,Guntakal,853373,2023-10-22,New,20,336.80999755859375
3100301,Bathinda,892652,2023-06-19,New,1,1530.27001953125
3282647,Unnao,736234,2024-01-15,Premium,18,608.27001953125
3292927,Rewa,320465,2024-01-12,New,6,1795.719970703125
3399251,Solapur,498701,2023-05-03,New,20,937.1099853515625
3408982,Bhatpara,119108,2023-07-01,Premium,5,656.969970703125
3410758,Hazaribagh,293062,2023-07-16,Regular,1,1892.510009765625
3421258,Kota,192064,2024-06-19,Premium,19,806.6199951171875
3468355,Pune,427282,2024-06-02,New,12,1734.510009765625
3483295,Imphal,632918,2024-03-08,Inactive,5,1334.489990234375
3491230,Khora ,876370,2023-06-01,New,14,226.6199951171875
3588443,Rohtak,586174,2024-04-11,Premium,20,1727.1800537109375
3638834,Warangal,563073,2023-07-08,Premium,16,1142.06005859375
3660263,Phagwara,202676,2023-05-27,Regular,10,1573.9100341796875
3730316,Berhampore,968515,2023-03-20,Regular,10,215.72000122070312
3786105,Kirari Suleman Nagar,288478,2024-06-02,New,13,1172.3199462890625
3844290,Berhampore,88516,2023-10-29,Inactive,2,301.7300109863281
3872421,Panvel,973220,2023-07-06,Premium,3,1468.97998046875
3875480,Berhampur,743842,2024-05-26,Inactive,8,1863.489990234375
3893903,Bathinda,546301,2023-03-23,New,20,1922.7099609375
3897936,Pudukkottai,100457,2023-09-26,Premium,14,215.16000366210938
3999964,Orai,33590,2023-08-08,Premium,15,1147.010009765625
4055790,Jamnagar,170135,2023-11-14,Regular,13,1178.81005859375
4057678,Kadapa,383118,2023-05-27,Inactive,19,882.6300048828125
4192351,Nandyal,871014,2024-01-20,Inactive,17,625.3599853515625
4200802,Ramgarh,860603,2023-11-15,Inactive,10,678.9600219726562
4356173,Rajkot,763603,2024-09-10,New,9,1838.56005859375
4378755,Pali,583209,2023-11-10,Premium,2,1144.9000244140625
4386273,Nandyal,494307,2024-06-26,Inactive,12,298.9700012207031
4394659,Pune,92392,2023-08-25,New,7,291.7699890136719
4438410,Panipat,368597,2024-10-17,Inactive,11,1868.7099609375
4439806,Mathura,838796,2024-04-19,New,7,790.5900268554688
4444673,Srikakulam,440337,2023-06-24,New,15,584.6900024414062
4458329,Mira-Bhayandar,842142,2024-07-01,Inactive,10,1617.0
4543215,Satna,339165,2023-10-21,Premium,6,526.7000122070312
4545935,Warangal,731038,2024-08-06,Regular,7,1931.0999755859375
4594944,Cuttack,599557,2024-03-26,Inactive,12,857.1300048828125
4597433,Tadepalligudem,580130,2024-04-02,Inactive,3,821.8400268554688
4606533,Rajpur Sonarpur,696982,2024-07-30,Premium,11,704.1400146484375
4618801,Jodhpur,869099,2023-11-16,Premium,11,201.55999755859375
4758426,Vijayawada,415274,2024-01-06,New,14,448.80999755859375
4789829,Rourkela,313467,2024-11-02,Regular,6,229.75999450683594
4849477,Hosur,328080,2023-07-22,Premium,19,1782.3499755859375
4862761,Eluru,153679,2023-08-31,Premium,20,477.19000244140625
4869199,Siwan,803941,2024-10-16,New,7,1695.800048828125
4940671,Silchar,431653,2024-06-17,Inactive,7,494.0299987792969
4988545,Anantapuram,576389,2023-04-06,Regular,10,1251.780029296875
