campaign_id,campaign_name,date,channel,impressions,clicks,conversions,spend,revenue_generated
243,Referral Program,2024-08-25,Email,2480.0,639.0,53.0,3641.179931640625,5970.43017578125
342,Flash Sale,2023-08-08,Social Media,6335.0,277.0,43.0,2900.4599609375,7711.31005859375
417,Email Campaign,2023-08-02,Social Media,9896.0,840.0,53.0,2704.169921875,5202.2998046875
472,Festival Offer,2024-05-25,Social Media,4729.0,128.0,95.0,1542.6500244140625,4316.39990234375
648,New User Discount,2023-11-04,Email,7368.0,138.0,43.0,4892.22021484375,2261.530029296875
788,New User Discount,2023-12-26,Email,3595.0,994.0,71.0,2896.43994140625,4004.2099609375
1005,Membership Drive,2023-06-18,Email,8276.0,793.0,68.0,1189.2099609375,9253.76953125
1604,Email Campaign,2024-03-31,App,6379.0,502.0,89.0,3522.989990234375,6315.41015625
1676,Email Campaign,2023-08-08,SMS,8311.0,894.0,73.0,3911.43994140625,4606.77978515625
1836,Membership Drive,2023-04-13,App,4198.0,926.0,88.0,3265.419921875,7039.52978515625
1966,Referral Program,2024-07-03,App,1515.0,924.0,96.0,3621.590087890625,5330.490234375
2127,Referral Program,2023-05-08,Social Media,6947.0,625.0,57.0,2830.06005859375,5541.5400390625
2160,Category Promotion,2024-03-15,App,1020.0,679.0,50.0,3036.7900390625,2364.06005859375
2257,Membership Drive,2023-08-07,SMS,8313.0,563.0,92.0,3118.889892578125,6790.259765625
2552,Email Campaign,2024-09-21,Social Media,5937.0,600.0,98.0,3542.77001953125,5648.68994140625
2609,Category Promotion,2023-07-11,SMS,2631.0,337.0,61.0,4370.47021484375,5547.83984375
2793,Festival Offer,2024-04-20,Social Media,5617.0,410.0,72.0,3287.669921875,9873.5
2988,Membership Drive,2024-07-21,App,8472.0,701.0,51.0,3923.889892578125,3691.639892578125
3131,Referral Program,2024-08-09,Email,8623.0,201.0,11.0,3056.10009765625,6057.81005859375
3150,Weekend Special,2024-03-10,SMS,5161.0,567.0,59.0,4543.31982421875,6666.35986328125
3231,Flash Sale,2023-11-17,App,5407.0,850.0,38.0,1355.02001953125,7982.419921875
3444,Category Promotion,2023-12-12,Email,7349.0,832.0,80.0,4255.490234375,8255.5
3645,App Push Notification,2024-05-29,App,2629.0,264.0,34.0,4888.6201171875,7441.18994140625
3703,Weekend Special,2024-02-15,SMS,9050.0,949.0,10.0,1971.949951171875,3783.169921875
3883,App Push Notification,2024-08-18,Social Media,3225.0,571.0,60.0,2012.4599609375,3227.280029296875
4443,Category Promotion,2023-06-30,App,7651.0,440.0,33.0,2673.3798828125,4999.5400390625
5009,New User Discount,2023-09-24,Email,1066.0,506.0,32.0,1900.0400390625,9289.7099609375
5227,Weekend Special,2023-11-23,SMS,4757.0,412.0,85.0,2514.679931640625,3103.22998046875
5516,Email Campaign,2024-11-05,Social Media,1559.0,418.0,68.0,1457.8800048828125,2156.090087890625
5729,App Push Notification,2024-06-04,Email,8765.0,129.0,26.0,3726.590087890625,9818.5
5891,Flash Sale,2024-07-03,SMS,2333.0,976.0,96.0,4851.75,2280.14990234375
5957,Category Promotion,2023-03-30,SMS,3916.0,775.0,96.0,3366.669921875,6669.27978515625
6116,Email Campaign,2024-02-02,App,5924.0,837.0,33.0,1894.1600341796875,3095.610107421875
6811,Flash Sale,2023-12-29,Social Media,1440.0,315.0,21.0,2243.75,3967.3798828125
7258,Weekend Special,2023-11-24,Social Media,1403.0,226.0,73.0,2002.0,7407.02978515625
7450,Referral Program,2023-09-30,Social Media,7410.0,440.0,36.0,2976.64990234375,2069.14990234375
7684,New User Discount,2023-10-08,Social Media,9123.0,982.0,43.0,3619.22998046875,5433.81005859375
7705,App Push Notification,2024-04-25,SMS,8726.0,504.0,56.0,2248.3798828125,3033.389892578125
7791,Category Promotion,2024-05-27,App,6379.0,914.0,32.0,1669.010009765625,5909.4501953125
7847,App Push Notification,2024-06-24,SMS,4556.0,955.0,78.0,1163.1199951171875,3696.7099609375
8105,Category Promotion,2024-05-16,App,1680.0,950.0,83.0,3277.199951171875,9286.6396484375
8162,Weekend Special,2024-05-15,App,7758.0,355.0,69.0,3383.18994140625,6928.02001953125
8292,Referral Program,2024-09-08,SMS,6368.0,322.0,49.0,2067.0,4930.89990234375
8328,App Push Notification,2024-10-21,Email,3212.0,747.0,63.0,3964.610107421875,7024.83984375
8397,App Push Notification,2023-07-11,App,4737.0,922.0,68.0,1445.989990234375,5592.02001953125
8471,Flash Sale,2023-05-27,SMS,4776.0,598.0,26.0,4970.8701171875,6411.89013671875
8490,Membership Drive,2023-12-01,App,3707.0,517.0,10.0,3502.639892578125,4271.080078125
9300,Flash Sale,2023-07-30,Social Media,5596.0,654.0,53.0,3439.010009765625,2287.9599609375
9609,Email Campaign,2023-12-31,SMS,6133.0,116.0,81.0,1402.0,6264.580078125
9624,Referral Program,2024-09-10,App,4172.0,144.0,57.0,1139.800048828125,9098.98046875
9650,Festival Offer,2023-04-29,Social Media,5010.0,232.0,91.0,1582.1700439453125,8900.41015625
9930,Flash Sale,2023-10-18,Email,4696.0,519.0,84.0,1887.219970703125,2884.590087890625
10407,Flash Sale,2023-12-06,SMS,8189.0,182.0,33.0,4178.580078125,5531.81005859375
10502,App Push Notification,2024-03-03,Email,2115.0,449.0,75.0,3543.6201171875,9807.1796875
10707,App Push Notification,2024-08-22,Social Media,3887.0,279.0,83.0,2882.639892578125,3331.14990234375
10864,Weekend Special,2023-09-17,Social Media,2756.0,890.0,12.0,4138.22998046875,6336.740234375
10907,Category Promotion,2024-08-20,SMS,8100.0,606.0,19.0,1790.8599853515625,3124.919921875
11123,Flash Sale,2023-12-24,App,4095.0,917.0,10.0,3467.800048828125,9097.2900390625
11218,New User Discount,2023-07-17,SMS,4971.0,771.0,41.0,4256.14990234375,3786.1298828125
11880,Weekend Special,2024-01-09,Email,3636.0,928.0,11.0,2470.75,4370.14013671875
12026,Category Promotion,2023-08-26,SMS,5024.0,902.0,52.0,4855.3701171875,2766.14990234375
12188,Membership Drive,2024-03-13,Email,3946.0,823.0,97.0,1367.6099853515625,2995.360107421875
12627,Flash Sale,2024-07-17,Social Media,7320.0,541.0,31.0,4870.47021484375,4779.89990234375
12695,Membership Drive,2024-03-12,Email,2355.0,127.0,40.0,3706.77001953125,3900.22998046875
13677,App Push Notification,2023-04-06,App,5698.0,744.0,99.0,3873.0400390625,5814.0400390625
13895,Referral Program,2023-03-27,Email,3684.0,212.0,75.0,1743.3900146484375,4131.25
14008,New User Discount,2024-10-11,Social Media,7827.0,694.0,82.0,4438.830078125,7975.60986328125
14119,Referral Program,2023-08-20,App,6316.0,636.0,32.0,4317.64013671875,7810.080078125
14196,Weekend Special,2023-12-05,App,1580.0,904.0,20.0,2739.510009765625,3614.179931640625
14906,Membership Drive,2023-12-28,Email,4022.0,223.0,38.0,1064.93994140625,4489.990234375
15274,App Push Notification,2024-01-06,Social Media,6352.0,106.0,23.0,2355.6298828125,5374.330078125
15528,Festival Offer,2024-07-13,SMS,9050.0,710.0,50.0,3218.7099609375,5250.64013671875
15660,App Push Notification,2023-10-03,App,1474.0,976.0,43.0,2599.02001953125,4530.240234375
15860,Category Promotion,2023-10-03,SMS,4694.0,734.0,89.0,3472.5,4586.02001953125
15969,Weekend Special,2023-06-28,App,1356.0,209.0,23.0,1627.27001953125,7989.47021484375
16093,Weekend Special,2024-05-29,Social Media,3736.0,419.0,54.0,2562.77001953125,5829.56005859375
16465,Weekend Special,2024-04-04,SMS,4012.0,638.0,50.0,4597.52001953125,6344.81982421875
16552,App Push Notification,2023-04-01,Social Media,5791.0,466.0,38.0,3477.780029296875,6151.75
16774,Referral Program,2023-05-15,App,7840.0,315.0,32.0,1628.5,6223.43994140625
17075,App Push Notification,2023-06-25,Email,2573.0,355.0,40.0,4220.5400390625,3844.8798828125
17254,Weekend Special,2023-06-10,App,9009.0,599.0,38.0,3378.60009765625,9573.4599609375
17383,Weekend Special,2023-10-04,SMS,4969.0,872.0,21.0,3731.22998046875,6354.66015625
17641,Weekend Special,2024-03-29,SMS,8099.0,674.0,64.0,4597.60986328125,5540.330078125
17745,New User Discount,2024-05-06,Email,7898.0,1000.0,95.0,4112.9501953125,6845.60009765625
17827,Flash Sale,2023-05-15,Email,3256.0,289.0,91.0,1968.3699951171875,6523.2001953125
18141,Festival Offer,2024-08-23,Social Media,7323.0,298.0,93.0,2738.0,4515.64013671875
18616,Membership Drive,2024-03-23,SMS,5483.0,174.0,56.0,1713.3800048828125,4795.14990234375
18694,Email Campaign,2024-06-06,Email,1630.0,984.0,12.0,2678.919921875,3340.669921875
18837,Category Promotion,2023-08-04,Social Media,2576.0,489.0,45.0,2551.260009765625,8846.2998046875
18874,Referral Program,2023-06-02,Email,6897.0,236.0,89.0,2341.179931640625,2705.610107421875
19099,Email Campaign,2024-01-05,App,5257.0,619.0,29.0,3597.159912109375,7778.16015625
19278,Referral Program,2023-11-30,Social Media,9175.0,334.0,12.0,3902.929931640625,6049.33984375
19412,Email Campaign,2023-06-02,App,4784.0,241.0,32.0,3372.360107421875,8273.650390625
19885,Festival Offer,2023-07-31,Social Media,2772.0,596.0,48.0,2741.1298828125,2018.9300537109375
20729,Category Promotion,2023-09-15,Email,5849.0,884.0,25.0,2724.68994140625,3724.68994140625
20834,Festival Offer,2024-09-11,App,4599.0,595.0,77.0,3419.35009765625,5493.47021484375
20892,New User Discount,2023-07-30,SMS,5649.0,657.0,13.0,1171.52001953125,2935.219970703125
21013,App Push Notification,2023-11-09,SMS,4558.0,354.0,32.0,2838.409912109375,8937.990234375
21048,Weekend Special,2023-05-13,Social Media,6701.0,715.0,31.0,1156.0899658203125,7542.31005859375
21518,Category Promotion,2023-10-31,App,8017.0,305.0,55.0,1223.8599853515625,7713.3798828125
21583,App Push Notification,2023-04-22,Email,6287.0,572.0,18.0,4799.81005859375,4253.0498046875
22032,Weekend Special,2024-02-19,App,1505.0,711.0,86.0,3742.6298828125,9624.83984375
22459,New User Discount,2024-08-25,App,7793.0,427.0,30.0,4221.52978515625,6827.2998046875
22573,Referral Program,2023-04-01,Social Media,2166.0,546.0,22.0,3019.56005859375,2248.47998046875
22873,New User Discount,2023-05-10,Email,4915.0,238.0,15.0,2770.3701171875,9548.9296875
22894,Flash Sale,2023-12-10,Email,4624.0,773.0,14.0,3176.889892578125,7989.0400390625
22916,New User Discount,2023-05-29,App,3611.0,533.0,38.0,4786.9501953125,5036.4501953125
22970,New User Discount,2024-01-24,Social Media,7294.0,677.0,20.0,1030.239990234375,5705.5498046875
23162,App Push Notification,2024-03-28,Social Media,1821.0,631.0,88.0,2508.330078125,7230.66015625
23172,Referral Program,2024-05-09,Email,4780.0,407.0,56.0,4593.89990234375,5955.91015625
23268,Referral Program,2024-02-26,SMS,1047.0,981.0,92.0,2280.3798828125,8026.93994140625
23436,Flash Sale,2024-04-03,App,6051.0,681.0,29.0,4343.259765625,2970.989990234375
23447,Category Promotion,2024-09-19,App,4528.0,552.0,53.0,1484.5400390625,3380.760009765625
23520,Flash Sale,2024-06-30,App,2732.0,634.0,48.0,1120.1800537109375,7095.81005859375
23552,Membership Drive,2024-07-22,SMS,8825.0,282.0,16.0,1657.2900390625,3088.760009765625
23763,Email Campaign,2023-05-11,App,1868.0,547.0,92.0,4430.56005859375,7795.22998046875
23792,Membership Drive,2023-07-21,Email,9305.0,688.0,84.0,4922.39990234375,3501.280029296875
23915,Festival Offer,2024-02-16,Email,8430.0,128.0,42.0,1478.18994140625,5756.35986328125
24596,New User Discount,2023-11-12,SMS,2137.0,297.0,86.0,1852.31005859375,2487.969970703125
24677,Referral Program,2023-09-05,Social Media,1952.0,346.0,45.0,3176.969970703125,9135.099609375
25152,Flash Sale,2023-07-13,Social Media,3917.0,904.0,71.0,4815.27978515625,5667.02978515625
25291,Membership Drive,2024-06-09,Email,1432.0,983.0,90.0,2871.10009765625,3458.280029296875
25450,New User Discount,2024-09-08,SMS,6787.0,370.0,16.0,2589.070068359375,9052.3798828125
25586,Flash Sale,2024-04-27,App,1213.0,936.0,17.0,4561.490234375,7794.52978515625
25710,New User Discount,2023-06-12,Social Media,7236.0,704.0,45.0,2646.409912109375,3578.139892578125
25760,Flash Sale,2023-10-12,Email,7077.0,509.0,65.0,1579.719970703125,9678.6796875
26051,Weekend Special,2023-03-23,Email,5924.0,472.0,87.0,1948.25,5118.52978515625
26262,Weekend Special,2024-09-07,Email,7764.0,321.0,79.0,3709.35009765625,2761.610107421875
26431,Flash Sale,2023-12-15,Email,3413.0,948.0,94.0,3262.52001953125,5640.1201171875
26622,Weekend Special,2024-03-26,Social Media,2245.0,819.0,88.0,3905.8798828125,9876.0400390625
26716,Weekend Special,2024-03-23,Social Media,1632.0,668.0,83.0,2733.10009765625,8441.650390625
26843,New User Discount,2024-08-20,Email,2314.0,983.0,72.0,3316.60009765625,4068.949951171875
27041,App Push Notification,2024-07-27,Email,2523.0,957.0,12.0,3603.219970703125,9873.9697265625
27094,App Push Notification,2023-05-09,Email,6290.0,231.0,16.0,3026.27001953125,6913.02978515625
27136,Weekend Special,2024-07-08,Social Media,3081.0,663.0,98.0,4462.35009765625,5634.2998046875
27202,Flash Sale,2024-08-31,Email,6510.0,679.0,47.0,4842.72998046875,9894.4697265625
27431,New User Discount,2023-03-30,SMS,7902.0,167.0,99.0,2021.449951171875,5977.60009765625
27481,Membership Drive,2023-08-28,App,5332.0,613.0,63.0,3368.159912109375,6807.10009765625
27552,Weekend Special,2024-04-05,Email,9813.0,247.0,98.0,2585.080078125,7930.8701171875
27596,Email Campaign,2024-10-22,Social Media,2648.0,898.0,24.0,3747.0,7410.91015625
27697,Membership Drive,2023-10-02,SMS,6610.0,360.0,49.0,2065.56005859375,8499.4697265625
28630,Category Promotion,2023-11-15,Social Media,7512.0,852.0,43.0,2283.8701171875,6815.2998046875
29162,Category Promotion,2023-07-28,App,8376.0,211.0,84.0,1613.4599609375,2642.68994140625
29571,Flash Sale,2023-09-06,Email,4541.0,651.0,58.0,3104.469970703125,5570.72021484375
29787,Festival Offer,2023-09-12,Email,3440.0,213.0,95.0,4657.41015625,4284.14990234375
