2025-10-28 21:21:34,322 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders' (DB)
2025-10-28 21:21:34,360 | INFO | root | CLEANING REPORT: blinkit_orders
2025-10-28 21:21:34,360 | INFO | root | initial_rows: 5000
2025-10-28 21:21:34,361 | INFO | root | duplicates_removed: 0
2025-10-28 21:21:34,361 | INFO | root | missing_before: {'order_id': 0, 'customer_id': 0, 'order_date': 0, 'order_total': 0, 'payment_method': 0, 'store_id': 0, 'promised_delivery_time': 0, 'actual_delivery_time': 0, 'delivery_status': 0}
2025-10-28 21:21:34,361 | INFO | root | outliers_removed: 3
2025-10-28 21:21:34,362 | INFO | root | final_rows: 4997
2025-10-28 21:21:34,362 | INFO | root | rows_removed_total: 3
2025-10-28 21:21:34,471 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items' (DB)
2025-10-28 21:21:34,481 | INFO | root | CLEANING REPORT: blinkit_order_items
2025-10-28 21:21:34,481 | INFO | root | initial_rows: 5000
2025-10-28 21:21:34,481 | INFO | root | duplicates_removed: 0
2025-10-28 21:21:34,482 | INFO | root | missing_before: {'order_id': 0, 'product_id': 0, 'quantity': 0, 'unit_price': 0}
2025-10-28 21:21:34,482 | INFO | root | rows_removed_missing_id: 0
2025-10-28 21:21:34,482 | INFO | root | final_rows: 5000
2025-10-28 21:21:34,482 | INFO | root | rows_removed_total: 0
2025-10-28 21:21:34,556 | ERROR | data_pipeline | Failed to fetch table 'blinkit_customers': Columns ['avg_order_value'] not found in table 'blinkit_customers'
2025-10-28 21:21:34,558 | WARNING | data_pipeline | blinkit_customers: No data returned. Skipped.
2025-10-28 21:21:34,618 | ERROR | data_pipeline | Failed to fetch table 'blinkit_marketing_performance': Columns ['roas'] not found in table 'blinkit_marketing_performance'
2025-10-28 21:21:34,620 | WARNING | data_pipeline | blinkit_marketing_performance: No data returned. Skipped.
2025-10-28 21:21:34,628 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products' (DB)
2025-10-28 21:21:34,636 | INFO | root | CLEANING REPORT: blinkit_products
2025-10-28 21:21:34,637 | INFO | root | initial_rows: 268
2025-10-28 21:21:34,637 | INFO | root | duplicates_removed: 0
2025-10-28 21:21:34,638 | INFO | root | missing_before: {'product_id': 0, 'product_name': 0, 'category': 0, 'brand': 0, 'price': 0, 'mrp': 0, 'margin_percentage': 0, 'shelf_life_days': 0, 'min_stock_level': 0, 'max_stock_level': 0}
2025-10-28 21:21:34,638 | INFO | root | final_rows: 268
2025-10-28 21:21:34,638 | INFO | root | rows_removed_total: 0
2025-10-28 21:22:30,272 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders' (DB)
2025-10-28 21:22:30,322 | INFO | root | CLEANING REPORT: blinkit_orders
2025-10-28 21:22:30,323 | INFO | root | initial_rows: 5000
2025-10-28 21:22:30,323 | INFO | root | duplicates_removed: 0
2025-10-28 21:22:30,324 | INFO | root | missing_before: {'order_id': 0, 'customer_id': 0, 'order_date': 0, 'order_total': 0, 'payment_method': 0, 'store_id': 0, 'promised_delivery_time': 0, 'actual_delivery_time': 0, 'delivery_status': 0}
2025-10-28 21:22:30,324 | INFO | root | outliers_removed: 3
2025-10-28 21:22:30,325 | INFO | root | final_rows: 4997
2025-10-28 21:22:30,325 | INFO | root | rows_removed_total: 3
2025-10-28 21:22:30,442 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items' (DB)
2025-10-28 21:22:30,450 | INFO | root | CLEANING REPORT: blinkit_order_items
2025-10-28 21:22:30,450 | INFO | root | initial_rows: 5000
2025-10-28 21:22:30,451 | INFO | root | duplicates_removed: 0
2025-10-28 21:22:30,451 | INFO | root | missing_before: {'order_id': 0, 'product_id': 0, 'quantity': 0, 'unit_price': 0}
2025-10-28 21:22:30,452 | INFO | root | rows_removed_missing_id: 0
2025-10-28 21:22:30,452 | INFO | root | final_rows: 5000
2025-10-28 21:22:30,452 | INFO | root | rows_removed_total: 0
2025-10-28 21:22:30,514 | ERROR | data_pipeline | Failed to fetch table 'blinkit_customers': Columns ['avg_order_value'] not found in table 'blinkit_customers'
2025-10-28 21:22:30,516 | WARNING | data_pipeline | blinkit_customers: No data returned. Skipped.
2025-10-28 21:22:30,574 | ERROR | data_pipeline | Failed to fetch table 'blinkit_marketing_performance': Columns ['roas'] not found in table 'blinkit_marketing_performance'
2025-10-28 21:22:30,576 | WARNING | data_pipeline | blinkit_marketing_performance: No data returned. Skipped.
2025-10-28 21:22:30,585 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products' (DB)
2025-10-28 21:22:30,593 | INFO | root | CLEANING REPORT: blinkit_products
2025-10-28 21:22:30,593 | INFO | root | initial_rows: 268
2025-10-28 21:22:30,594 | INFO | root | duplicates_removed: 0
2025-10-28 21:22:30,594 | INFO | root | missing_before: {'product_id': 0, 'product_name': 0, 'category': 0, 'brand': 0, 'price': 0, 'mrp': 0, 'margin_percentage': 0, 'shelf_life_days': 0, 'min_stock_level': 0, 'max_stock_level': 0}
2025-10-28 21:22:30,594 | INFO | root | final_rows: 268
2025-10-28 21:22:30,595 | INFO | root | rows_removed_total: 0
2025-10-28 21:24:19,140 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders' (DB)
2025-10-28 21:24:19,189 | INFO | root | CLEANING REPORT: blinkit_orders
2025-10-28 21:24:19,189 | INFO | root | initial_rows: 5000
2025-10-28 21:24:19,189 | INFO | root | duplicates_removed: 0
