campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas
243,Referral Program,2024-08-25,Premium,Email,2480,639,53,3641.179931640625,5970.43017578125,3.990000009536743
342,Flash Sale,2023-08-08,New Users,Social Media,6335,277,43,2900.4599609375,7711.31005859375,2.3399999141693115
417,Email Campaign,2023-08-02,New Users,Social Media,9896,840,53,2704.169921875,5202.2998046875,2.9200000762939453
472,Festival Offer,2024-05-25,New Users,Social Media,4729,128,95,1542.6500244140625,4316.39990234375,3.2899999618530273
648,New User Discount,2023-11-04,All,Email,7368,138,43,4892.22021484375,2261.530029296875,2.3499999046325684
788,New User Discount,2023-12-26,Premium,Email,3595,994,71,2896.43994140625,4004.2099609375,3.549999952316284
1005,Membership Drive,2023-06-18,All,Email,8276,793,68,1189.2099609375,9253.76953125,1.840000033378601
1604,Email Campaign,2024-03-31,Premium,App,6379,502,89,3522.989990234375,6315.41015625,3.5299999713897705
1676,Email Campaign,2023-08-08,Inactive,SMS,8311,894,73,3911.43994140625,4606.77978515625,1.6699999570846558
1836,Membership Drive,2023-04-13,All,App,4198,926,88,3265.419921875,7039.52978515625,2.890000104904175
1966,Referral Program,2024-07-03,All,App,1515,924,96,3621.590087890625,5330.490234375,3.9200000762939453
2127,Referral Program,2023-05-08,Inactive,Social Media,6947,625,57,2830.06005859375,5541.5400390625,2.940000057220459
2160,Category Promotion,2024-03-15,Premium,App,1020,679,50,3036.7900390625,2364.06005859375,3.75
2257,Membership Drive,2023-08-07,All,SMS,8313,563,92,3118.889892578125,6790.259765625,3.3499999046325684
2552,Email Campaign,2024-09-21,All,Social Media,5937,600,98,3542.77001953125,5648.68994140625,1.6200000047683716
2609,Category Promotion,2023-07-11,Premium,SMS,2631,337,61,4370.47021484375,5547.83984375,2.259999990463257
2793,Festival Offer,2024-04-20,All,Social Media,5617,410,72,3287.669921875,9873.5,2.299999952316284
2988,Membership Drive,2024-07-21,Inactive,App,8472,701,51,3923.889892578125,3691.639892578125,1.5099999904632568
3131,Referral Program,2024-08-09,Inactive,Email,8623,201,11,3056.10009765625,6057.81005859375,2.940000057220459
3150,Weekend Special,2024-03-10,Inactive,SMS,5161,567,59,4543.31982421875,6666.35986328125,3.5299999713897705
3231,Flash Sale,2023-11-17,All,App,5407,850,38,1355.02001953125,7982.419921875,2.309999942779541
3444,Category Promotion,2023-12-12,All,Email,7349,832,80,4255.490234375,8255.5,2.25
3645,App Push Notification,2024-05-29,All,App,2629,264,34,4888.6201171875,7441.18994140625,3.930000066757202
3703,Weekend Special,2024-02-15,All,SMS,9050,949,10,1971.949951171875,3783.169921875,2.5
3883,App Push Notification,2024-08-18,All,Social Media,3225,571,60,2012.4599609375,3227.280029296875,3.4100000858306885
4443,Category Promotion,2023-06-30,Inactive,App,7651,440,33,2673.3798828125,4999.5400390625,1.5800000429153442
5009,New User Discount,2023-09-24,New Users,Email,1066,506,32,1900.0400390625,9289.7099609375,2.359999895095825
5227,Weekend Special,2023-11-23,Inactive,SMS,4757,412,85,2514.679931640625,3103.22998046875,3.259999990463257
5516,Email Campaign,2024-11-05,Premium,Social Media,1559,418,68,1457.8800048828125,2156.090087890625,3.9200000762939453
5729,App Push Notification,2024-06-04,Inactive,Email,8765,129,26,3726.590087890625,9818.5,1.909999966621399
5891,Flash Sale,2024-07-03,Premium,SMS,2333,976,96,4851.75,2280.14990234375,1.7699999809265137
5957,Category Promotion,2023-03-30,Premium,SMS,3916,775,96,3366.669921875,6669.27978515625,1.7699999809265137
6116,Email Campaign,2024-02-02,Inactive,App,5924,837,33,1894.1600341796875,3095.610107421875,1.9700000286102295
6811,Flash Sale,2023-12-29,New Users,Social Media,1440,315,21,2243.75,3967.3798828125,3.9800000190734863
7258,Weekend Special,2023-11-24,New Users,Social Media,1403,226,73,2002.0,7407.02978515625,3.930000066757202
7450,Referral Program,2023-09-30,Inactive,Social Media,7410,440,36,2976.64990234375,2069.14990234375,2.630000114440918
7684,New User Discount,2023-10-08,Premium,Social Media,9123,982,43,3619.22998046875,5433.81005859375,3.490000009536743
7705,App Push Notification,2024-04-25,Premium,SMS,8726,504,56,2248.3798828125,3033.389892578125,1.8700000047683716
