order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id
60465,15808945,2024-10-23 05:23:29,2024-10-23 05:34:29,2024-10-23 05:39:29,On Time,589.469970703125,UPI,58998,3943
2237858,48281892,2023-04-02 03:45:11,2023-04-02 04:00:11,2023-04-02 04:03:11,On Time,3835.260009765625,Wallet,97945,1987
3101265,89617089,2024-05-23 03:21:47,2024-05-23 03:37:47,2024-05-23 03:40:47,On Time,3567.72998046875,UPI,20246,974
5120698,44174426,2023-06-09 12:10:20,2023-06-09 12:25:20,2023-06-09 12:40:20,Slightly Delayed,3064.360107421875,Wallet,48582,3184
5512907,51476157,2023-04-30 20:52:21,2023-04-30 21:11:21,2023-04-30 21:26:21,Slightly Delayed,861.530029296875,Wallet,44545,419
7550508,93127511,2023-10-20 10:54:27,2023-10-20 11:07:27,2023-10-20 11:06:27,On Time,1067.6800537109375,Card,38073,70
8701796,14479168,2024-08-19 19:01:44,2024-08-19 19:14:44,2024-08-19 19:23:44,Slightly Delayed,215.64999389648438,Cash,41266,1925
9408428,31456752,2023-08-30 13:34:14,2023-08-30 13:54:14,2023-08-30 13:50:14,On Time,1911.8599853515625,UPI,76392,9889
10161194,63238941,2023-12-24 23:10:35,2023-12-24 23:28:35,2023-12-24 23:31:35,On Time,3827.5400390625,Card,58293,6592
10448052,90021871,2023-08-05 10:01:05,2023-08-05 10:21:05,2023-08-05 10:26:05,On Time,1228.8599853515625,UPI,47308,1064
11467999,78267238,2023-04-23 18:37:26,2023-04-23 18:57:26,2023-04-23 19:11:26,Slightly Delayed,3051.18994140625,UPI,1908,5146
14103943,9105829,2023-11-24 08:47:35,2023-11-24 09:07:35,2023-11-24 09:18:35,Slightly Delayed,1538.300048828125,Cash,25400,6791
15642223,85020453,2023-11-06 21:10:23,2023-11-06 21:24:23,2023-11-06 21:27:23,On Time,1712.739990234375,Cash,43306,864
16878685,37556526,2024-04-09 02:29:02,2024-04-09 02:44:02,2024-04-09 02:47:02,On Time,4267.93994140625,Cash,52442,9683
22830983,92404798,2023-06-04 21:10:12,2023-06-04 21:26:12,2023-06-04 21:44:12,Significantly Delayed,3061.389892578125,UPI,39491,2086
23158044,31681710,2023-05-19 19:28:28,2023-05-19 19:41:28,2023-05-19 19:41:28,On Time,2726.699951171875,UPI,66644,919
27296314,64562786,2024-10-17 16:13:30,2024-10-17 16:24:30,2024-10-17 16:46:30,Significantly Delayed,3866.080078125,UPI,97704,3986
32604190,51503088,2023-12-08 09:08:03,2023-12-08 09:19:03,2023-12-08 09:16:03,On Time,1169.8399658203125,Wallet,60196,7220
32613017,82594354,2023-03-17 00:20:41,2023-03-17 00:36:41,2023-03-17 00:36:41,On Time,2354.280029296875,Card,77303,3364
35135941,28205701,2024-07-29 18:08:33,2024-07-29 18:26:33,2024-07-29 18:21:33,On Time,1216.1600341796875,UPI,64624,229
38408517,39674723,2023-11-26 08:38:03,2023-11-26 08:58:03,2023-11-26 09:20:03,Significantly Delayed,88.43000030517578,Cash,84919,5135
39405769,24621386,2023-04-07 12:46:40,2023-04-07 12:56:40,2023-04-07 13:11:40,Slightly Delayed,941.25,Card,6878,9711
39791095,625395,2024-04-06 10:58:05,2024-04-06 11:17:05,2024-04-06 11:22:05,On Time,480.8500061035156,Card,41559,9008
42332130,70363568,2024-10-17 17:08:04,2024-10-17 17:18:04,2024-10-17 17:15:04,On Time,1441.0699462890625,Wallet,54725,9022
47467466,55693909,2023-09-05 16:53:11,2023-09-05 17:04:11,2023-09-05 17:02:11,On Time,102.44000244140625,Wallet,60202,2532
47953423,96806748,2024-02-27 00:13:46,2024-02-27 00:28:46,2024-02-27 00:32:46,On Time,2094.280029296875,UPI,90878,6448
50845914,54893418,2023-04-09 04:18:56,2023-04-09 04:37:56,2023-04-09 04:34:56,On Time,3226.43994140625,Card,95031,4686
52324496,81605722,2024-02-23 17:32:54,2024-02-23 17:47:54,2024-02-23 17:52:54,On Time,560.5399780273438,Card,54293,4009
56705032,63060947,2023-11-16 04:30:25,2023-11-16 04:40:25,2023-11-16 04:54:25,Slightly Delayed,3069.97998046875,UPI,77287,8706
59461109,67708491,2023-05-06 13:44:41,2023-05-06 13:55:41,2023-05-06 13:55:41,On Time,2017.97998046875,UPI,48662,5800
