store_id,brand,category,product_id,product_name,daily_revenue,avg_unit_price,orders_count,lag_1_qty,lag_7_qty,lag_14_qty,lag_30_qty,roll_7_mean,roll_7_sum,roll_14_mean,roll_14_sum,roll_30_mean,roll_30_sum,roll_30_std,cum_qty,cum_revenue,growth_rate,cat_total_qty,cat_price_mean,cat_share,brand_total_qty,brand_price_mean,brand_share,day,week,month,year,day_of_week,is_weekend,is_month_start,is_month_end,dayofweek,predicted_qty
1.0,"Basu, Thakur and Rege",Pet Care,256783,Pet Treats,1813.0799560546875,906.5399780273438,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1813.0799560546875,0,2.0,906.5399780273438,1.0,2.0,906.5399780273438,1.0,2,27,7,2024,1,0,0,0,1,1.9999992
2.0,Nadig Ltd,Grocery & Staples,451933,Wheat Flour,568.9400024414062,568.9400024414062,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,568.9400024414062,0,1.0,568.9400024414062,1.0,1.0,568.9400024414062,1.0,11,37,9,2023,0,0,0,0,0,1.0000213
9.0,Chana LLC,Cold Drinks & Juices,712307,Orange Juice,529.780029296875,264.8900146484375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,529.780029296875,0,2.0,264.8900146484375,1.0,2.0,264.8900146484375,1.0,11,41,10,2023,2,0,0,0,2,1.9999992
12.0,Lall LLC,Baby Care,820973,Baby Wipes,343.5599899291992,114.5199966430664,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,343.5599899291992,0,3.0,114.5199966430664,1.0,3.0,114.5199966430664,1.0,21,12,3,2024,3,0,0,0,3,2.9999766
14.0,Acharya Ltd,Pet Care,942001,Cat Food,1343.0999755859375,671.5499877929688,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1343.0999755859375,0,2.0,671.5499877929688,1.0,2.0,671.5499877929688,1.0,29,22,5,2024,2,0,0,0,2,1.9999992
15.0,Dutta Inc,Dairy & Breakfast,455083,Butter,1918.02001953125,959.010009765625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1918.02001953125,0,2.0,959.010009765625,1.0,2.0,959.010009765625,1.0,9,36,9,2023,5,1,0,0,5,1.9999992
16.0,Chadha and Sons,Fruits & Vegetables,669378,Potatoes,424.2799987792969,212.13999938964844,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,424.2799987792969,0,2.0,212.13999938964844,1.0,2.0,212.13999938964844,1.0,12,19,5,2024,6,1,0,0,6,1.9999992
17.0,"Vaidya, Amble and Palla",Grocery & Staples,903336,Pulses,551.8800048828125,551.8800048828125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,551.8800048828125,0,1.0,551.8800048828125,1.0,1.0,551.8800048828125,1.0,9,10,3,2024,5,1,0,0,5,1.0000213
18.0,Shetty and Sons,Dairy & Breakfast,839170,Curd,481.6300048828125,481.6300048828125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,481.6300048828125,0,1.0,481.6300048828125,1.0,1.0,481.6300048828125,1.0,24,21,5,2023,2,0,0,0,2,1.0000213
19.0,Acharya Ltd,Pet Care,942001,Cat Food,671.5499877929688,671.5499877929688,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,671.5499877929688,0,1.0,671.5499877929688,1.0,1.0,671.5499877929688,1.0,23,21,5,2024,3,0,0,0,3,1.0000213
