2025-10-04 00:18:13,389 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:26:03,412 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:26:03,476 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:26:03,508 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:26:03,528 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:26:03,580 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:26:03,602 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:26:03,641 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:26:03,675 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:33:10,878 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:33:10,942 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:33:11,008 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:33:11,079 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:33:11,080 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:33:11,122 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:33:11,206 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:33:11,267 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:33:21,206 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:33:21,245 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:33:21,295 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:33:21,304 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:33:21,352 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:33:21,392 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:33:21,443 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:33:21,484 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:33:29,787 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:33:29,814 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:33:29,840 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:33:29,846 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:33:29,917 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:33:29,935 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:33:29,971 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:33:30,009 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:35:24,418 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:35:27,687 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:35:27,700 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:35:27,737 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:35:27,744 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:35:27,838 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:35:27,866 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:35:27,905 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:36:35,893 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:36:35,914 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:36:35,943 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:36:35,949 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:36:35,994 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:36:36,022 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:36:36,066 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:36:36,111 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:38:25,215 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:38:25,284 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:38:25,317 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
