2025-10-03 21:32:32,913 | INFO | data_pipeline | Starting Demand Forecasting Data Pipeline
2025-10-03 21:32:33,402 | INFO | data_pipeline | Database connection successful. Current time from DB: 2025-10-03 21:32:33.390000
2025-10-03 21:32:33,404 | INFO | data_pipeline | Tables defined in schemas: ['blinkit_customer_feedback', 'blinkit_customers', 'blinkit_delivery_performance', 'blinkit_marketing_performance', 'blinkit_order_items', 'blinkit_orders', 'blinkit_products', 'blinkit_weather']
2025-10-03 21:32:33,404 | INFO | data_pipeline | Columns for table 'blinkit_customer_feedback': ['feedback_id', 'order_id', 'customer_id', 'rating', 'feedback_text', 'feedback_category', 'sentiment', 'feedback_date']
2025-10-03 21:32:33,405 | INFO | data_pipeline | Starting parallel fetch of all tables from database...
2025-10-03 21:32:34,093 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-03 21:32:34,121 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-03 21:32:34,163 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-03 21:32:34,191 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-03 21:32:34,283 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-03 21:32:34,289 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-03 21:32:34,346 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-03 21:32:34,393 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-03 21:32:34,394 | INFO | data_pipeline | Parallel fetch completed
2025-10-03 21:32:34,395 | INFO | data_pipeline | blinkit_order_items: 5000 rows, 4 columns
2025-10-03 21:32:34,395 | INFO | data_pipeline | blinkit_customers: 2500 rows, 11 columns
2025-10-03 21:32:34,395 | INFO | data_pipeline | blinkit_products: 268 rows, 10 columns
2025-10-03 21:32:34,395 | INFO | data_pipeline | blinkit_delivery_performance: 5000 rows, 8 columns
2025-10-03 21:32:34,396 | INFO | data_pipeline | blinkit_customer_feedback: 5000 rows, 8 columns
2025-10-03 21:32:34,396 | INFO | data_pipeline | blinkit_marketing_performance: 5400 rows, 11 columns
2025-10-03 21:32:34,396 | INFO | data_pipeline | blinkit_orders: 5000 rows, 10 columns
2025-10-03 21:32:34,400 | INFO | data_pipeline | Loading all CSV files from 'D:\demand_forecasting_system\src\data'...
2025-10-03 21:32:34,401 | ERROR | data_pipeline | Data folder 'D:\demand_forecasting_system\src\data' does not exist
2025-10-03 21:32:34,401 | INFO | data_pipeline | Finished loading CSV files
2025-10-03 21:32:34,402 | INFO | data_pipeline | Starting geocode enrichment step...
2025-10-03 21:32:34,402 | INFO | data_pipeline | Starting geocode enrichment pipeline
2025-10-03 21:32:34,431 | INFO | data_pipeline | Geocode table ensured in database
2025-10-03 21:32:34,460 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-03 21:32:38,582 | ERROR | data_pipeline | Geocode enrichment step failed: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2025-10-03 21:32:38,583 | INFO | data_pipeline | Starting weather enrichment step...
2025-10-03 21:32:38,583 | INFO | data_pipeline | Starting weather enrichment pipeline
2025-10-03 21:32:38,603 | INFO | data_pipeline | Weather table ensured in database
2025-10-03 21:32:38,746 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-03 21:32:38,760 | INFO | data_pipeline | Fetched date range: 2023-03-16 -> 2024-11-04
2025-10-03 21:32:38,772 | INFO | data_pipeline | Fetched 0 rows from table 'blinkit_area_geocode'
2025-10-03 21:32:38,780 | INFO | data_pipeline | Fetched 0 geocodes from DB
2025-10-03 21:32:38,785 | INFO | data_pipeline | No geocodes found. Exiting.
2025-10-03 21:32:38,786 | INFO | data_pipeline |  Finished weather enrichment step
2025-10-03 21:32:38,786 | INFO | data_pipeline |  Demand Forecasting Data Pipeline Completed
2025-10-03 21:37:24,791 | INFO | data_pipeline | Starting Demand Forecasting Data Pipeline
2025-10-03 21:37:25,297 | INFO | data_pipeline | Database connection successful. Current time from DB: 2025-10-03 21:37:25.290000
2025-10-03 21:37:25,299 | INFO | data_pipeline | Tables defined in schemas: ['blinkit_customer_feedback', 'blinkit_customers', 'blinkit_delivery_performance', 'blinkit_marketing_performance', 'blinkit_order_items', 'blinkit_orders', 'blinkit_products', 'blinkit_weather']
2025-10-03 21:37:25,300 | INFO | data_pipeline | Columns for table 'blinkit_customer_feedback': ['feedback_id', 'order_id', 'customer_id', 'rating', 'feedback_text', 'feedback_category', 'sentiment', 'feedback_date']
2025-10-03 21:37:25,300 | INFO | data_pipeline | Starting parallel fetch of all tables from database...
2025-10-03 21:37:28,685 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-03 21:37:28,806 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-03 21:37:28,911 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-03 21:37:28,961 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-03 21:37:29,008 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-03 21:37:29,149 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-03 21:37:31,170 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-03 21:37:31,278 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-03 21:37:31,280 | INFO | data_pipeline | Parallel fetch completed
2025-10-03 21:37:31,281 | INFO | data_pipeline | blinkit_order_items: 5000 rows, 4 columns
2025-10-03 21:37:31,281 | INFO | data_pipeline | blinkit_customers: 2500 rows, 11 columns
2025-10-03 21:37:31,282 | INFO | data_pipeline | blinkit_customer_feedback: 5000 rows, 8 columns
2025-10-03 21:37:31,282 | INFO | data_pipeline | blinkit_delivery_performance: 5000 rows, 8 columns
2025-10-03 21:37:31,283 | INFO | data_pipeline | blinkit_marketing_performance: 5400 rows, 11 columns
2025-10-03 21:37:31,283 | INFO | data_pipeline | blinkit_products: 268 rows, 10 columns
2025-10-03 21:37:31,283 | INFO | data_pipeline | blinkit_orders: 5000 rows, 10 columns
2025-10-03 21:37:31,291 | INFO | data_pipeline | Loading all CSV files from 'D:\demand_forecasting_system\src\data'...
2025-10-03 21:37:31,291 | ERROR | data_pipeline | Data folder 'D:\demand_forecasting_system\src\data' does not exist
2025-10-03 21:37:31,292 | INFO | data_pipeline | Finished loading CSV files
2025-10-03 21:37:31,292 | INFO | data_pipeline | Starting geocode enrichment step...
2025-10-03 21:37:31,293 | INFO | data_pipeline | Starting geocode enrichment pipeline
2025-10-03 21:37:31,386 | INFO | data_pipeline | Geocode table ensured in database
2025-10-03 21:37:31,443 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-03 21:37:31,821 | INFO | data_pipeline | 316 new areas to geocode (not in Redis cache)
2025-10-03 21:37:38,319 | WARNING | data_pipeline | No geocode found for 'Sultan Pur Majra'
2025-10-03 21:37:39,263 | INFO | data_pipeline | Geocoded 'Kurnool' -> lat: 15.8309251, lon: 78.0425373
2025-10-03 21:37:39,425 | WARNING | data_pipeline | Skipped storing 'Sultan Pur Majra' due to missing geocode
2025-10-03 21:37:40,286 | INFO | data_pipeline | Geocoded 'Chinsurah' -> lat: 22.8854687, lon: 88.3837126
2025-10-03 21:37:40,404 | INFO | data_pipeline | Stored 'Kurnool' -> lat: 15.8309251, lon: 78.0425373
2025-10-03 21:37:41,314 | INFO | data_pipeline | Geocoded 'Korba' -> lat: 22.5198217, lon: 82.6350029
2025-10-03 21:37:41,407 | INFO | data_pipeline | Stored 'Chinsurah' -> lat: 22.8854687, lon: 88.3837126
2025-10-03 21:37:42,334 | INFO | data_pipeline | Geocoded 'Kavali' -> lat: 14.9135846, lon: 79.9926902
2025-10-03 21:37:42,426 | INFO | data_pipeline | Stored 'Korba' -> lat: 22.5198217, lon: 82.6350029
2025-10-03 21:37:43,358 | INFO | data_pipeline | Geocoded 'Madanapalle' -> lat: 13.5557979, lon: 78.500872
2025-10-03 21:37:43,458 | INFO | data_pipeline | Stored 'Kavali' -> lat: 14.9135846, lon: 79.9926902
2025-10-03 21:37:44,382 | INFO | data_pipeline | Geocoded 'Pallavaram' -> lat: 12.9654669, lon: 80.1451178
2025-10-03 21:37:44,483 | INFO | data_pipeline | Stored 'Madanapalle' -> lat: 13.5557979, lon: 78.500872
2025-10-03 21:37:45,303 | INFO | data_pipeline | Geocoded 'Satna' -> lat: 24.6954445, lon: 80.7770348
2025-10-03 21:37:45,497 | INFO | data_pipeline | Stored 'Pallavaram' -> lat: 12.9654669, lon: 80.1451178
2025-10-03 21:37:46,266 | INFO | data_pipeline | Geocoded 'Visakhapatnam' -> lat: 17.6935526, lon: 83.2921297
2025-10-03 21:37:46,422 | INFO | data_pipeline | Stored 'Satna' -> lat: 24.6954445, lon: 80.7770348
2025-10-03 21:37:47,250 | INFO | data_pipeline | Geocoded 'Anantapuram' -> lat: 14.6797962, lon: 78.642965
2025-10-03 21:37:47,387 | INFO | data_pipeline | Stored 'Visakhapatnam' -> lat: 17.6935526, lon: 83.2921297
